City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
268,Entebbe,UG,0.0644,32.4469,66.52,88,20,2.3,few clouds
269,Trairi,BR,-3.2778,-39.2689,75.42,84,46,8.5,scattered clouds
270,Kapuskasing,CA,49.4169,-82.4331,62.87,97,100,2.57,overcast clouds
271,Milkovo,RU,54.7167,158.6167,84.67,37,87,1.95,overcast clouds
272,Labuhan,ID,-6.8844,112.2051,85.68,57,25,6.15,scattered clouds
273,Orange,US,33.7,-117.7675,83.53,75,40,8.05,scattered clouds
274,Paamiut,GL,61.994,-49.6678,48.76,81,99,11.63,overcast clouds
275,Carutapera,BR,-1.195,-46.02,74.93,91,35,4.03,scattered clouds
276,Paris,FR,48.8534,2.3488,66.11,92,0,6.91,clear sky
277,Manpur,IN,22.4333,75.6167,76.6,80,96,13.53,overcast clouds
278,Geraldton,AU,-28.7667,114.6,63.01,94,40,10.36,scattered clouds
279,Najran,SA,17.4924,44.1277,80.64,44,83,4.47,broken clouds
280,Dauriya,RU,49.9333,116.8667,81.59,48,17,6.96,few clouds
281,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,83,20,14.97,few clouds
282,Ormara,PK,25.2088,64.6357,83.37,82,96,16.67,overcast clouds
283,Tambun,ID,-6.2641,107.0712,87.69,54,2,0.89,clear sky
284,Oboyan,RU,51.2098,36.2792,53.4,88,16,10.8,few clouds
285,Porbandar,IN,21.6422,69.6093,82.38,83,100,9.22,overcast clouds
286,Solnechnyy,RU,50.7214,136.6319,58.89,96,100,5.77,overcast clouds
287,Ahmadpur Sial,PK,30.6754,71.7483,95.02,51,45,12.26,scattered clouds
288,Pahrump,US,36.2083,-115.9839,98.65,19,100,1.01,overcast clouds
289,Severnyy,RU,50.677,36.5532,55.44,94,75,13.42,broken clouds
290,Sinnamary,GF,5.3833,-52.95,76.87,86,28,5.28,scattered clouds
291,Longyearbyen,SJ,78.2186,15.6401,49.84,87,75,9.22,broken clouds
292,Saint George,US,37.1041,-113.5841,100.99,19,0,10.36,clear sky
293,Zaraza,VE,9.3503,-65.3245,72.1,97,98,2.33,overcast clouds
294,Xuanwu,CN,32.069,118.8138,84.07,75,95,7.72,light rain
295,Muros,ES,42.7762,-9.0603,64.83,85,6,8.84,clear sky
296,Tiarei,PF,-17.5333,-149.3333,77.02,74,8,10.85,light rain
297,Hofn,IS,64.2539,-15.2082,51.94,80,50,5.17,scattered clouds
298,Lichuan,CN,30.3,108.85,67.46,97,100,3.24,overcast clouds
299,Karratha,AU,-20.7377,116.8463,78.94,32,5,3.67,clear sky
300,Pascagoula,US,30.3658,-88.5561,86.05,85,0,5.75,clear sky
301,Skibbereen,IE,51.55,-9.2667,56.1,85,34,4.61,scattered clouds
302,Honolulu,US,21.3069,-157.8583,84.02,66,75,17.27,broken clouds
303,Trinidad,BO,-14.8333,-64.9,70.41,54,11,2.93,few clouds
304,Hasaki,JP,35.7333,140.8333,90.28,79,93,8.84,overcast clouds
305,Mangrol,IN,21.1167,70.1167,82.13,82,91,18.34,overcast clouds
306,Vila Franca Do Campo,PT,37.7167,-25.4333,75.2,90,43,0.87,scattered clouds
307,Nemuro,JP,43.3236,145.575,60.55,86,56,9.95,broken clouds
308,Nata,PA,8.3333,-80.5167,76.15,94,100,5.26,overcast clouds
309,Toora-Khem,RU,52.4675,96.11,70.68,36,3,4.27,clear sky
310,Coquimbo,CL,-29.9533,-71.3436,53.33,87,100,3.44,overcast clouds
311,Los Alamos,US,35.8881,-106.307,74.01,41,75,10.36,broken clouds
312,Bahia Honda,CU,22.9036,-83.1592,79.25,83,32,6.87,scattered clouds
313,Vanino,RU,49.0869,140.2543,62.22,80,91,6.24,overcast clouds
314,Evensk,RU,61.95,159.2333,68.65,37,18,1.68,few clouds
315,Humberto De Campos,BR,-2.5983,-43.4611,74.41,91,19,3.58,few clouds
316,Mozarlandia,BR,-14.7447,-50.5706,71.24,36,2,6.24,clear sky
317,Garowe,SO,8.4054,48.4845,74.75,52,20,23.15,few clouds
318,Lasa,IT,46.6166,10.7002,64.36,87,52,1.57,broken clouds
319,Ongandjera,NA,-17.8833,15.0667,54.19,30,0,9.75,clear sky
320,Celestun,MX,20.8667,-90.4,81.7,76,70,15.66,broken clouds
321,Rorvik,NO,64.8621,11.2373,53.71,100,75,4.61,broken clouds
322,Atambua,ID,-9.1061,124.8925,82.18,60,42,1.97,scattered clouds
323,Cabo San Lucas,MX,22.8909,-109.9124,88.9,54,0,17.27,clear sky
324,Wabrzezno,PL,53.2799,18.9477,67.06,80,0,7.72,clear sky
325,High Rock,BS,26.6208,-78.2833,82.42,74,0,12.55,clear sky
326,Bridlington,GB,54.0831,-0.1919,64.89,85,98,13.24,overcast clouds
327,Sackville,CA,45.9188,-64.3846,62.33,75,49,4.88,scattered clouds
328,Balkhash,KZ,46.844,74.9804,86.61,23,0,15.66,clear sky
329,Asau,RO,46.4333,26.4,61.72,75,0,3.53,clear sky
330,Gorontalo,ID,0.5412,123.0595,88.11,63,12,4.97,few clouds
331,Kirakira,SB,-10.4544,161.9205,84.76,71,24,9.26,few clouds
332,Tura,IN,25.5198,90.2201,80.13,87,99,4.63,overcast clouds
333,Zuenoula,CI,7.4292,-6.0431,70.09,83,100,3.85,overcast clouds
334,Acapulco,MX,16.8634,-99.8901,84.02,84,40,4.61,scattered clouds
335,Camabatela,AO,-8.1881,15.375,55.8,87,5,1.23,clear sky
336,Matay,EG,28.419,30.7792,75.54,60,1,13.2,clear sky
